Market Cap,Change,Market Cap Numeric,PE ratio,Percent Change,Price
709.361B,-1.38,709361000000,,-0.427721299,321.26
483.304B,-0.25,483304000000,30.81,-0.108220423,230.76
392.325B,-2.16,392325000000,9.9,-1.587651599,133.89
359.338B,-3.18,359338000000,37.85,-0.829442604,380.21
326.427B,-0.08,326427000000,1.82,-0.324543611,24.57
328.207B,-0.09,328207000000,1.86,-0.358422939,25.02
244.596B,-0.04,244596000000,6.94,-0.163800164,24.38
0,0.79,0,325.77,0.069057755,1144.76
270.35B,-0.03,270350000000,5.7,-0.149625935,20.02
269.812B,0.05,269812000000,5.66,0.251889169,19.9
215.526B,-0.33,215526000000,8.1,-1.204819277,27.06
248.946B,0.05,248946000000,5.75,0.248138958,20.2
239.34B,0.12,239340000000,5.73,0.599101348,20.15
240.083B,-0.01,240083000000,5.91,-0.048146365,20.76
245.183B,-0.04,245183000000,6.98,-0.162800163,24.53
201.039B,1.45,201039000000,5.18,6.154499151,25.01
186.022B,0.51,186022000000,5.22,2.062272543,25.24
182.577B,0.01,182577000000,4.63,0.044742729,22.36
178.136B,1.77,178136000000,235.88,0.155536028,1139.77
143.582B,0.09,143582000000,2.97,0.357142857,25.29
151.092B,0.02,151092000000,6.79,0.053404539,37.47
139.17B,-0.35,139170000000,14.3,-0.423574973,82.28
141.079B,-0.97,141079000000,10.86,-2.531315240,37.35
133.217B,-0.54,133217000000,12.2,-0.561213885,95.68
126.149B,0.65,126149000000,26.17,0.968270520,67.78
483.44B,-0.18,483440000000,30.82,-0.077922078,230.82
392.56B,-2.14,392560000000,9.9,-1.572951121,133.91
359.499B,-3.18,359499000000,37.87,-0.829442604,380.21
326.427B,-0.08,326427000000,1.82,-0.324543611,24.57
328.076B,-0.1,328076000000,1.86,-0.398247710,25.01
244.596B,-0.04,244596000000,6.94,-0.163800164,24.38
0,0.79,0,325.77,0.069057755,1144.76
270.35B,-0.03,270350000000,5.7,-0.149625935,20.02
269.812B,0.05,269812000000,5.66,0.251889169,19.9
215.605B,-0.33,215605000000,8.1,-1.204819277,27.06
248.946B,0.05,248946000000,5.75,0.248138958,20.2
239.34B,0.12,239340000000,5.73,0.599101348,20.15
240.083B,-0.01,240083000000,5.91,-0.048146365,20.76
245.183B,-0.04,245183000000,6.98,-0.162800163,24.53
201.039B,1.45,201039000000,5.18,6.154499151,25.01
186.022B,0.51,186022000000,5.22,2.062272543,25.24
182.822B,0.04,182822000000,4.63,0.178970917,22.39
178.136B,1.77,178136000000,235.88,0.155536028,1139.77
143.582B,0.09,143582000000,2.97,0.357142857,25.29
151.092B,0.02,151092000000,6.79,0.053404539,37.47
139.221B,-0.33,139221000000,14.31,-0.399370689,82.3
141.116B,-0.97,141116000000,10.86,-2.529994784,37.37
133.217B,-0.54,133217000000,12.2,-0.561213885,95.68
126.149B,0.65,126149000000,26.17,0.968270520,67.78
123.026B,0.09,123026000000,3.57,0.524475524,17.25
392.53B,-2.15,392530000000,9.9,-1.580301360,133.9
359.499B,-3.18,359499000000,37.87,-0.829442604,380.21
326.427B,-0.08,326427000000,1.82,-0.324543611,24.57
328.076B,-0.1,328076000000,1.86,-0.398247710,25.01
244.596B,-0.04,244596000000,6.94,-0.163800164,24.38
0,0.79,0,325.77,0.069057755,1144.76
270.35B,-0.03,270350000000,5.7,-0.149625935,20.02
269.812B,0.05,269812000000,5.66,0.251889169,19.9
215.644B,-0.33,215644000000,8.1,-1.204819277,27.06
248.946B,0.05,248946000000,5.75,0.248138958,20.2
239.34B,0.12,239340000000,5.73,0.599101348,20.15
240.083B,-0.01,240083000000,5.91,-0.048146365,20.76
245.183B,-0.04,245183000000,6.98,-0.162800163,24.53
201.039B,1.45,201039000000,5.18,6.154499151,25.01
186.022B,0.51,186022000000,5.22,2.062272543,25.24
182.822B,0.04,182822000000,4.63,0.178970917,22.39
178.136B,1.77,178136000000,235.88,0.155536028,1139.77
143.582B,0.09,143582000000,2.97,0.357142857,25.29
151.092B,0.02,151092000000,6.79,0.053404539,37.47
139.229B,-0.35,139229000000,14.31,-0.423574973,82.28
141.154B,-0.98,141154000000,10.86,-2.556744065,37.35
133.442B,-0.38,133442000000,12.22,-0.394928289,95.84
126.149B,0.66,126149000000,26.17,0.983166989,67.79
123.026B,0.09,123026000000,3.57,0.524475524,17.25
106.714B,-1.74,106714000000,11.43,-0.542529309,318.98
359.463B,-3.03,359463000000,37.87,-0.790317953,380.36
326.693B,-0.06,326693000000,1.82,-0.243407708,24.59
328.207B,-0.09,328207000000,1.86,-0.358422939,25.02
244.596B,-0.04,244596000000,6.94,-0.163800164,24.38
0,0.79,0,325.77,0.069057755,1144.76
270.35B,-0.03,270350000000,5.7,-0.149625935,20.02
269.812B,0.05,269812000000,5.66,0.251889169,19.9
215.609B,-0.31,215609000000,8.1,-1.131799927,27.08
248.946B,0.05,248946000000,5.75,0.248138958,20.2
239.34B,0.12,239340000000,5.73,0.599101348,20.15
240.083B,-0.01,240083000000,5.91,-0.048146365,20.76
245.183B,-0.04,245183000000,6.98,-0.162800163,24.53
201.039B,1.45,201039000000,5.18,6.154499151,25.01
186.022B,0.51,186022000000,5.22,2.062272543,25.24
182.822B,0.04,182822000000,4.63,0.178970917,22.39
178.136B,1.77,178136000000,235.88,0.155536028,1139.77
143.582B,0.09,143582000000,2.97,0.357142857,25.29
151.092B,0.05,151092000000,6.79,0.133511348,37.5
139.221B,-0.33,139221000000,14.31,-0.399370689,82.3
141.116B,-0.93,141116000000,10.86,-2.426297939,37.4
133.442B,-0.38,133442000000,12.22,-0.394928289,95.84
126.158B,0.67,126158000000,26.17,0.998063459,67.8
123.026B,0.09,123026000000,3.57,0.524475524,17.25
106.774B,-1.73,106774000000,11.43,-0.539411325,318.99
114.939B,-2,114939000000,43.75,-0.555108385,358.29
326.693B,-0.06,326693000000,1.82,-0.243407708,24.59
328.207B,-0.09,328207000000,1.86,-0.358422939,25.02
244.596B,-0.04,244596000000,6.94,-0.163800164,24.38
